Date,Description,Amount,Payment_Method,Category
2024-05-11,METRO TICKET TXN40424,2175.96,Net Banking,Transport
2024-05-11,DONATION PAYMENT,7795.48,Cash,Other
2024-05-11,INDIAN OIL PETROL,2152.06,Credit Card,Transport
2024-05-12,INOX MOVIES,3676.76,Net Banking,Entertainment
2024-05-12,AMAZON PURCHASE REF128552,1537.99,Net Banking,Shopping
2024-05-12,MCDONALDS ORDER,1700.41,Credit Card,Food
2024-05-12,DOCTOR CONSULTATION TXN62913,4638.0,Wallet,Healthcare
2024-05-12,FIXED DEPOSIT REF743095,18517.17,Cash,Investment
2024-05-12,MEDPLUS PHARMACY,4409.91,Debit Card,Healthcare
2024-05-12,UPI HOSTEL FEE RENT VIJAYAWADA,24844.01,Debit Card,Rent
2024-05-12,AMAZON PRIME,1274.01,Credit Card,Entertainment
2024-05-12,ATM FEE TXN21297,6687.21,Debit Card,Other
2024-05-13,PVR CINEMAS TXN22369,975.36,Net Banking,Entertainment
2024-05-13,UBER TRIP,2318.28,Credit Card,Transport
2024-05-13,GIFT PURCHASE,749.71,Wallet,Other
2024-05-13,GOLD SAVINGS,9554.88,Debit Card,Investment
2024-05-13,AMAZON PURCHASE TXN33710,12338.03,Credit Card,Shopping
2024-05-13,ROOM RENT,5324.53,Debit Card,Rent
2024-05-13,DONATION PAYMENT,4464.29,UPI,Other
2024-05-13,UPI INDEX FUND SIP HYD,20376.38,Credit Card,Investment
2024-05-13,DMART PURCHASE,5471.94,Cash,Shopping
2024-05-13,MOBILE POSTPAID BILL,321.44,Credit Card,Bills
2024-05-13,FIXED DEPOSIT,22679.58,Wallet,Investment
2024-05-13,DMART PURCHASE TXN55268,14633.07,Credit Card,Shopping
2024-05-13,EYE HOSPITAL REF449090,5557.61,Cash,Healthcare
2024-05-13,HOUSE RENT TXN90495,7432.22,Credit Card,Rent
2024-05-13,BANK CHARGE,3436.31,Wallet,Other
2024-05-14,RESTAURANT PAYMENT,1133.92,Debit Card,Food
2024-05-14,BANK CHARGE TXN58793,8565.72,Credit Card,Other
2024-05-14,UPI PG RENT PAYMENT BLR,4537.16,Cash,Rent
2024-05-14,JIO RECHARGE,3852.72,UPI,Bills
2024-05-14,UPI PVR CINEMAS CHENNAI,3271.95,UPI,Entertainment
2024-05-14,MOVIE TICKET,3411.26,Wallet,Entertainment
2024-05-15,INOX MOVIES,3255.13,Cash,Entertainment
2024-05-15,YOUTUBE PREMIUM TXN23831,1801.31,Debit Card,Entertainment
2024-05-15,DONATION PAYMENT,8131.81,Credit Card,Other
2024-05-15,WATER BILL,1364.0,Wallet,Bills
2024-05-15,ZOMATO FOOD ORDER REF256936,1363.02,Wallet,Food
2024-05-15,AJIO PURCHASE,6995.71,Cash,Shopping
2024-05-15,CASH WITHDRAWAL,5395.83,UPI,Other
2024-05-16,DOMINOS PIZZA,273.5,Credit Card,Food
2024-05-16,AMAZON PURCHASE REF594097,2745.84,Credit Card,Shopping
2024-05-16,UPI FIXED DEPOSIT HYD,11328.0,Cash,Investment
2024-05-16,MEDICAL STORE REF295080,8698.91,Credit Card,Healthcare
2024-05-16,GIFT PURCHASE REF291860,8000.77,Debit Card,Other
2024-05-16,MEDICAL STORE TXN61769,3234.95,Net Banking,Healthcare
2024-05-16,DOMINOS PIZZA TXN41756,707.01,Wallet,Food
2024-05-16,JIO RECHARGE,1237.02,Credit Card,Bills
2024-05-17,SPOTIFY PREMIUM REF374571,2354.77,Cash,Entertainment
2024-05-17,UPI BROADBAND BILL BLR,3753.2,Debit Card,Bills
2024-05-17,PHARMACY UPI,939.04,Credit Card,Healthcare
2024-05-17,ACCOMMODATION PAYMENT TXN90654,16470.5,Credit Card,Rent
2024-05-17,UPI MEDICAL STORE HYD,4689.45,Credit Card,Healthcare
2024-05-17,APARTMENT RENT,3315.64,UPI,Rent
2024-05-17,MONTHLY RENT,22535.43,Credit Card,Rent
2024-05-17,AUTO RICKSHAW UPI REF402024,2308.5,UPI,Transport
2024-05-17,UPI HOTSTAR SUBSCRIPTION GUNTUR,826.15,Debit Card,Entertainment
2024-05-17,STOCK INVESTMENT TXN53457,21902.09,Net Banking,Investment
2024-05-17,TRAINING PROGRAM TXN20097,23956.47,Credit Card,Education
2024-05-17,SHOPPING MALL REF285186,6380.66,Wallet,Shopping
2024-05-17,SWIGGY ORDER TXN35390,1210.69,Net Banking,Food
2024-05-17,MISCELLANEOUS PAYMENT TXN90180,6031.38,UPI,Other
2024-05-17,ZOMATO FOOD ORDER,431.38,Cash,Food
2024-05-18,MCDONALDS ORDER,78.53,Credit Card,Food
2024-05-18,DENTAL CLINIC TXN79955,2931.38,Wallet,Healthcare
2024-05-18,HOSTEL RENT REF346205,22519.7,Net Banking,Rent
2024-05-18,GOLD SAVINGS,21504.47,Net Banking,Investment
2024-05-18,UBER TRIP TXN52957,211.16,Credit Card,Transport
2024-05-18,RAILWAY TICKET,794.15,Cash,Transport
2024-05-18,TEA SHOP UPI,1330.27,Debit Card,Food
2024-05-18,UPI ZOMATO FOOD ORDER CHENNAI,880.95,Net Banking,Food
2024-05-18,MYNTRA SHOPPING,11347.51,Debit Card,Shopping
2024-05-18,MOBILE POSTPAID BILL TXN74382,1281.05,UPI,Bills
2024-05-18,PVR CINEMAS,3325.16,Cash,Entertainment
2024-05-18,MISCELLANEOUS PAYMENT,8874.76,Net Banking,Other
2024-05-18,ACCOMMODATION PAYMENT,22308.08,Credit Card,Rent
2024-05-19,AMAZON PURCHASE,988.81,UPI,Shopping
2024-05-19,COURSERA COURSE,7707.46,Cash,Education
2024-05-19,OLA CAB REF467227,49.45,Wallet,Transport
2024-05-19,GAS BILL PAYMENT TXN17596,4855.24,Wallet,Bills
2024-05-19,MYNTRA SHOPPING TXN69326,3681.52,Net Banking,Shopping
2024-05-19,INDIAN OIL PETROL REF588533,357.64,Net Banking,Transport
2024-05-20,RESTAURANT PAYMENT REF950133,992.29,UPI,Food
2024-05-20,UPI MCDONALDS ORDER HYD,72.16,Wallet,Food
2024-05-20,ROOM RENT TXN70548,20695.19,Credit Card,Rent
2024-05-20,AMAZON PRIME TXN45264,2990.01,UPI,Entertainment
2024-05-20,BUS TICKET TXN79445,1509.92,Wallet,Transport
2024-05-20,PVR CINEMAS REF817318,2345.85,Credit Card,Entertainment
2024-05-20,AMAZON PRIME REF895402,1621.29,Wallet,Entertainment
2024-05-20,MUTUAL FUND INVESTMENT TXN48441,10551.67,Net Banking,Investment
2024-05-20,UBER TRIP TXN97139,2893.31,Wallet,Transport
2024-05-20,MEESHO ORDER REF122013,12488.54,Net Banking,Shopping
2024-05-21,INOX MOVIES,2815.72,Credit Card,Entertainment
2024-05-21,APARTMENT RENT,16925.83,Net Banking,Rent
2024-05-21,BROADBAND BILL REF327496,274.04,Debit Card,Bills
2024-05-21,AJIO PURCHASE REF902138,14995.2,Wallet,Shopping
2024-05-21,CERTIFICATION EXAM REF650099,6089.64,Wallet,Education
2024-05-21,PVR CINEMAS TXN64917,372.88,Debit Card,Entertainment
2024-05-21,UBER TRIP,1086.3,Credit Card,Transport
2024-05-21,UPI TRANSFER,4664.42,Wallet,Other
2024-05-21,FLIPKART ORDER TXN25688,711.86,Net Banking,Shopping
2024-05-21,MISCELLANEOUS PAYMENT REF721270,1291.26,Net Banking,Other
2024-05-21,UPI SPOTIFY PREMIUM VIJAYAWADA,316.93,UPI,Entertainment
2024-05-21,ACCOMMODATION PAYMENT TXN21824,17761.21,Net Banking,Rent
2024-05-21,INDEX FUND SIP TXN49144,25946.48,Net Banking,Investment
2024-05-22,ELECTRONICS STORE REF525114,8993.13,Debit Card,Shopping
2024-05-22,UPI SPOTIFY PREMIUM BLR,523.76,Wallet,Entertainment
2024-05-22,UDEMY COURSE,13620.64,UPI,Education
2024-05-22,UDEMY COURSE TXN37509,18022.9,UPI,Education
2024-05-22,MEDPLUS PHARMACY,6762.48,Wallet,Healthcare
2024-05-22,CERTIFICATION EXAM,4232.94,Debit Card,Education
2024-05-22,HOSTEL FEE RENT,19558.52,UPI,Rent
2024-05-22,OLA CAB,570.72,Cash,Transport
2024-05-22,ELECTRONICS STORE REF909070,8444.2,Cash,Shopping
2024-05-23,GAME PURCHASE TXN14524,142.87,Cash,Entertainment
2024-05-23,MISCELLANEOUS PAYMENT TXN77611,2600.06,UPI,Other
2024-05-23,UPI PERSONAL TRANSFER HYD,8971.1,UPI,Other
2024-05-23,MISCELLANEOUS PAYMENT TXN66280,3179.31,Debit Card,Other
2024-05-23,GAME PURCHASE TXN60311,3046.63,Wallet,Entertainment
2024-05-23,UPI CLOTHING STORE HYD,6027.54,Debit Card,Shopping
2024-05-23,UPI DMART PURCHASE CHENNAI,11958.77,Debit Card,Shopping
2024-05-23,CAFE COFFEE DAY TXN74237,573.59,Wallet,Food
2024-05-23,SWIGGY ORDER,1450.71,Credit Card,Food
2024-05-23,UPI INVESTMENT ACCOUNT CHENNAI,2945.48,Net Banking,Investment
2024-05-23,UPI INDEX FUND SIP CHENNAI,22847.02,Net Banking,Investment
2024-05-23,ACCOMMODATION PAYMENT,13141.9,Credit Card,Rent
2024-05-23,HOSPITAL PAYMENT,6438.78,Net Banking,Healthcare
2024-05-23,UPI MISCELLANEOUS PAYMENT VIJAYAWADA,4724.16,Wallet,Other
2024-05-23,UPI PG RENT PAYMENT CHENNAI,11109.24,Debit Card,Rent
2024-05-23,AUTO RICKSHAW UPI,434.55,UPI,Transport
2024-05-24,UPI GAME PURCHASE HYD,3395.04,Debit Card,Entertainment
2024-05-24,AUTO RICKSHAW UPI REF454779,761.28,Debit Card,Transport
2024-05-24,COLLEGE FEE,21881.7,UPI,Education
2024-05-24,GROCERY FOOD STORE TXN23679,780.71,Wallet,Food
2024-05-24,HOSTEL RENT REF940134,9400.05,Wallet,Rent
2024-05-24,OLA CAB TXN72482,1835.22,Debit Card,Transport
2024-05-24,MEDPLUS PHARMACY,1442.2,UPI,Healthcare
2024-05-24,AMAZON PRIME,3838.54,Debit Card,Entertainment
2024-05-24,UDEMY COURSE,24076.04,Debit Card,Education
2024-05-24,STOCK INVESTMENT,17934.86,Net Banking,Investment
2024-05-24,COLLEGE FEE REF424296,19842.3,Credit Card,Education
2024-05-24,INDEX FUND SIP TXN46221,15674.77,Cash,Investment
2024-05-24,UPI HOSTEL RENT HYD,4057.1,Wallet,Rent
2024-05-25,MCDONALDS ORDER,222.8,Net Banking,Food
2024-05-25,UPI MUTUAL FUND INVESTMENT CHENNAI,29807.37,Cash,Investment
2024-05-25,ZOMATO FOOD ORDER TXN13934,1020.71,Credit Card,Food
2024-05-25,RAPIDO RIDE TXN64118,1979.91,Debit Card,Transport
2024-05-25,AUTO RICKSHAW UPI TXN69388,472.62,Net Banking,Transport
2024-05-25,CAFE COFFEE DAY,884.93,Credit Card,Food
2024-05-26,AJIO PURCHASE REF232430,3082.7,Wallet,Shopping
2024-05-26,UPI LIBRARY FEE GUNTUR,24463.57,Net Banking,Education
2024-05-26,GAME PURCHASE,1653.28,Wallet,Entertainment
2024-05-26,DIAGNOSTIC LAB,7424.58,Cash,Healthcare
2024-05-26,UPI VI MOBILE RECHARGE BLR,865.86,Debit Card,Bills
2024-05-26,ATM FEE,9132.65,Debit Card,Other
2024-05-26,TEA SHOP UPI,1077.2,Credit Card,Food
2024-05-26,BUS TICKET TXN89583,609.38,Cash,Transport
2024-05-27,PERSONAL TRANSFER REF280564,2790.37,Cash,Other
2024-05-27,HOTSTAR SUBSCRIPTION TXN94206,1183.37,Wallet,Entertainment
2024-05-27,CASH WITHDRAWAL TXN40968,5553.71,Debit Card,Other
2024-05-27,PG RENT PAYMENT,6859.33,Wallet,Rent
2024-05-27,CASH WITHDRAWAL REF891852,4133.24,Net Banking,Other
2024-05-27,COLLEGE FEE,20155.72,UPI,Education
2024-05-27,RESTAURANT PAYMENT REF457938,411.08,Debit Card,Food
2024-05-27,STATIONERY STORE REF187025,10036.92,Net Banking,Education
2024-05-27,INOX MOVIES REF386277,372.41,Net Banking,Entertainment
2024-05-27,ONLINE COURSE PAYMENT,23571.46,Credit Card,Education
2024-05-27,UPI HOTSTAR SUBSCRIPTION VIJAYAWADA,1894.12,Debit Card,Entertainment
2024-05-27,UPI PG RENT PAYMENT VIJAYAWADA,21706.8,Wallet,Rent
2024-05-28,UPI UPI TRANSFER HYD,4465.82,UPI,Other
2024-05-28,MISCELLANEOUS PAYMENT REF722286,1330.16,Wallet,Other
2024-05-28,UPI HOSTEL FEE RENT BLR,14213.35,UPI,Rent
2024-05-28,HOSTEL RENT,24283.12,Net Banking,Rent
2024-05-28,UPI MUTUAL FUND INVESTMENT VIJAYAWADA,25806.45,UPI,Investment
2024-05-28,MOVIE TICKET TXN16055,3450.04,Cash,Entertainment
2024-05-28,MYNTRA SHOPPING REF785010,5300.4,UPI,Shopping
2024-05-28,KFC RESTAURANT REF319393,891.96,Wallet,Food
2024-05-29,UPI METRO TICKET CHENNAI,585.45,Credit Card,Transport
2024-05-29,ONLINE COURSE PAYMENT,8529.63,Debit Card,Education
2024-05-29,UPI SWIGGY ORDER HYD,77.48,Wallet,Food
2024-05-29,MYNTRA SHOPPING TXN49469,4099.26,UPI,Shopping
2024-05-29,BROADBAND BILL TXN76173,1847.84,Debit Card,Bills
2024-05-29,EXAM FEE,12115.57,Credit Card,Education
2024-05-29,UPI MUTUAL FUND INVESTMENT GUNTUR,25265.91,Wallet,Investment
2024-05-29,HP FUEL STATION,507.97,Net Banking,Transport
2024-05-30,MISCELLANEOUS PAYMENT,8434.21,Credit Card,Other
2024-05-30,UBER TRIP,283.04,Cash,Transport
2024-05-30,UPI EYE HOSPITAL VIJAYAWADA,6340.35,Cash,Healthcare
2024-05-30,PERSONAL TRANSFER TXN24609,3389.96,UPI,Other
2024-05-30,MEDPLUS PHARMACY REF623162,9279.61,Net Banking,Healthcare
2024-05-30,PERSONAL TRANSFER,5697.71,Credit Card,Other
2024-05-30,UPI HOUSE RENT CHENNAI,10206.05,UPI,Rent
2024-05-30,MEESHO ORDER,13589.06,Net Banking,Shopping
2024-05-30,PHARMACY UPI,7777.41,Net Banking,Healthcare
2024-05-30,UPI GROCERY FOOD STORE BLR,1444.14,Net Banking,Food
2024-05-30,KFC RESTAURANT REF337686,797.49,Credit Card,Food
2024-05-30,SIP INVESTMENT,23351.57,Debit Card,Investment
2024-05-31,INOX MOVIES,2938.98,Cash,Entertainment
2024-05-31,MISCELLANEOUS PAYMENT TXN60004,9292.56,Wallet,Other
2024-05-31,UPI HOSTEL FEE RENT CHENNAI,3018.55,Debit Card,Rent
2024-05-31,UPI MOBILE POSTPAID BILL VIJAYAWADA,2038.5,Cash,Bills
2024-05-31,UPI COURSERA COURSE VIJAYAWADA,3656.35,Debit Card,Education
2024-05-31,UPI ROOM RENT HYD,18769.57,Credit Card,Rent
2024-05-31,INVESTMENT ACCOUNT TXN45955,13234.96,Wallet,Investment
2024-05-31,CASH WITHDRAWAL,9306.54,Wallet,Other
2024-05-31,EXAM FEE REF257817,22422.88,Net Banking,Education
2024-06-01,GOLD SAVINGS,25434.37,Cash,Investment
2024-06-01,INVESTMENT ACCOUNT TXN59807,20818.61,Cash,Investment
2024-06-01,CAFE COFFEE DAY,616.49,Wallet,Food
2024-06-01,DENTAL CLINIC,4424.41,UPI,Healthcare
2024-06-01,UPI APOLLO PHARMACY CHENNAI,804.84,Wallet,Healthcare
2024-06-01,BUS TICKET,2867.69,Debit Card,Transport
2024-06-01,VI MOBILE RECHARGE TXN46681,2731.47,UPI,Bills
2024-06-01,DOMINOS PIZZA TXN72094,958.83,Cash,Food
2024-06-01,STATIONERY STORE TXN86055,20753.52,Credit Card,Education
2024-06-01,WATER BILL REF303129,764.81,Wallet,Bills
2024-06-01,UPI STOCK INVESTMENT BLR,19052.78,Debit Card,Investment
2024-06-01,UPI STOCK INVESTMENT CHENNAI,24806.97,Credit Card,Investment
2024-06-01,BAKERY PURCHASE,1484.83,Credit Card,Food
2024-06-01,EYE HOSPITAL,821.32,Cash,Healthcare
2024-06-01,UPI STOCK INVESTMENT HYD,28246.22,Cash,Investment
2024-06-01,ACT FIBERNET REF671015,1426.38,Credit Card,Bills
2024-06-02,ATM FEE,2422.91,Debit Card,Other
2024-06-02,ATM FEE TXN97016,1536.67,Debit Card,Other
2024-06-02,FLIPKART ORDER TXN17414,5158.24,UPI,Shopping
2024-06-02,GAME PURCHASE,3184.39,Credit Card,Entertainment
2024-06-03,UPI CLOTHING STORE HYD,6063.42,Debit Card,Shopping
2024-06-03,DIAGNOSTIC LAB TXN80798,897.72,Debit Card,Healthcare
2024-06-03,ELECTRICITY BILL REF663312,524.44,Debit Card,Bills
2024-06-03,UDEMY COURSE TXN56752,5154.88,Debit Card,Education
2024-06-03,RESTAURANT PAYMENT,851.03,Net Banking,Food
2024-06-03,HP FUEL STATION REF947047,2302.52,Cash,Transport
2024-06-03,UPI APARTMENT RENT GUNTUR,15413.42,Wallet,Rent
2024-06-03,BROADBAND BILL,2906.21,UPI,Bills
2024-06-04,HOSTEL FEE RENT REF311219,24561.09,Wallet,Rent
2024-06-04,AIRTEL RECHARGE,1950.79,Net Banking,Bills
2024-06-04,RAPIDO RIDE,946.45,UPI,Transport
2024-06-04,DOMINOS PIZZA TXN75369,569.08,Net Banking,Food
2024-06-04,BAKERY PURCHASE REF673621,1309.49,UPI,Food
2024-06-04,DMART PURCHASE,1559.74,UPI,Shopping
2024-06-04,VI MOBILE RECHARGE,983.93,Credit Card,Bills
2024-06-04,SHOPPING MALL TXN37925,9458.39,Net Banking,Shopping
2024-06-04,PERSONAL TRANSFER,4934.59,UPI,Other
2024-06-04,SHOPPING MALL REF479636,3845.25,Debit Card,Shopping
2024-06-04,UPI RESTAURANT PAYMENT VIJAYAWADA,257.22,Credit Card,Food
2024-06-04,APARTMENT RENT,11743.53,Debit Card,Rent
2024-06-04,EXAM FEE TXN55398,20583.45,Net Banking,Education
2024-06-04,AMAZON PRIME REF843634,1017.24,Credit Card,Entertainment
2024-06-04,UPI STATIONERY STORE BLR,16663.26,Debit Card,Education
2024-06-05,UPI SPOTIFY PREMIUM BLR,2466.43,Cash,Entertainment
2024-06-05,PVR CINEMAS TXN64173,3042.67,Cash,Entertainment
2024-06-05,ELECTRICITY BILL TXN15735,3455.93,Credit Card,Bills
2024-06-05,UPI HP FUEL STATION BLR,2038.27,Credit Card,Transport
2024-06-05,RELIANCE TRENDS,10220.14,Credit Card,Shopping
2024-06-05,ACT FIBERNET TXN31906,2840.31,Wallet,Bills
2024-06-05,UPI STATIONERY STORE HYD,13207.23,Credit Card,Education
2024-06-05,MEDPLUS PHARMACY REF623265,593.73,Cash,Healthcare
2024-06-05,GAME PURCHASE REF971776,583.35,Credit Card,Entertainment
2024-06-05,KFC RESTAURANT REF155278,319.9,Debit Card,Food
2024-06-05,UPI HEALTH CHECKUP GUNTUR,1684.68,Cash,Healthcare
2024-06-06,SHOPPING MALL TXN38551,9095.97,Debit Card,Shopping
2024-06-06,DONATION PAYMENT REF162678,3587.4,Wallet,Other
2024-06-06,UPI KFC RESTAURANT CHENNAI,1351.92,Debit Card,Food
2024-06-06,CLOTHING STORE,4037.61,Credit Card,Shopping
2024-06-06,CASH WITHDRAWAL TXN32073,4151.27,UPI,Other
2024-06-06,UPI HOSPITAL PAYMENT GUNTUR,7706.22,Credit Card,Healthcare
2024-06-06,GAS BILL PAYMENT,4617.83,Cash,Bills
2024-06-06,PG RENT PAYMENT REF654797,14315.01,Net Banking,Rent
2024-06-06,COLLEGE FEE,9925.81,Wallet,Education
2024-06-06,AJIO PURCHASE TXN47657,9861.56,Debit Card,Shopping
2024-06-06,TEA SHOP UPI,935.41,Net Banking,Food
2024-06-06,ELECTRICITY BILL REF551371,586.43,UPI,Bills
2024-06-06,ROOM RENT TXN42941,21919.33,UPI,Rent
2024-06-06,HOSTEL FEE RENT REF427848,3913.78,UPI,Rent
2024-06-06,PETROL PUMP REF285710,1138.96,Cash,Transport
2024-06-07,CAFE COFFEE DAY,1291.96,UPI,Food
2024-06-07,DOMINOS PIZZA,1574.13,UPI,Food
2024-06-07,TRAINING PROGRAM TXN73417,3478.1,Cash,Education
2024-06-07,HOSTEL FEE RENT TXN31368,5253.19,Cash,Rent
2024-06-07,HOTSTAR SUBSCRIPTION TXN67565,1002.6,Credit Card,Entertainment
2024-06-07,SPOTIFY PREMIUM TXN63588,1512.21,Net Banking,Entertainment
2024-06-07,ATM FEE REF914842,5583.77,Debit Card,Other
2024-06-07,STOCK INVESTMENT REF621824,6198.21,Cash,Investment
2024-06-07,UPI HP FUEL STATION BLR,1753.64,Credit Card,Transport
2024-06-08,DIAGNOSTIC LAB,5695.8,Credit Card,Healthcare
2024-06-08,SHOPPING MALL,871.08,UPI,Shopping
2024-06-08,BUS TICKET,2322.14,Credit Card,Transport
2024-06-08,UPI RAILWAY TICKET BLR,787.23,Net Banking,Transport
2024-06-08,FLIPKART ORDER REF931219,415.17,Credit Card,Shopping
2024-06-08,UPI MOBILE POSTPAID BILL GUNTUR,315.17,Credit Card,Bills
2024-06-08,EYE HOSPITAL,2669.81,Net Banking,Healthcare
2024-06-08,UPI STOCK INVESTMENT VIJAYAWADA,20043.32,UPI,Investment
2024-06-08,STOCK INVESTMENT REF338728,2242.73,Cash,Investment
2024-06-08,UPI RESTAURANT PAYMENT VIJAYAWADA,134.6,Debit Card,Food
2024-06-08,HEALTH CHECKUP REF896246,494.84,Debit Card,Healthcare
2024-06-09,UPI ACT FIBERNET VIJAYAWADA,3699.73,Credit Card,Bills
2024-06-09,HOUSE RENT,23238.91,Cash,Rent
2024-06-09,EXAM FEE,309.13,Cash,Education
2024-06-09,TATA PLAY RECHARGE,292.38,Cash,Bills
2024-06-09,INDEX FUND SIP,17086.53,Cash,Investment
2024-06-09,HOSTEL FEE RENT TXN54039,15275.45,Debit Card,Rent
2024-06-09,TATA PLAY RECHARGE,5329.8,Cash,Bills
2024-06-09,EYE HOSPITAL,8188.51,Cash,Healthcare
2024-06-09,BROADBAND BILL,1270.79,Cash,Bills
2024-06-09,UPI PETROL PUMP GUNTUR,1991.47,Debit Card,Transport
2024-06-09,INDEX FUND SIP REF684037,8785.11,Debit Card,Investment
2024-06-09,UDEMY COURSE REF755331,11770.48,UPI,Education
2024-06-09,UPI RECURRING DEPOSIT BLR,15294.3,Wallet,Investment
2024-06-09,EXAM FEE,15489.76,Net Banking,Education
2024-06-09,HOTSTAR SUBSCRIPTION,3569.93,UPI,Entertainment
2024-06-10,DIAGNOSTIC LAB,4207.28,Net Banking,Healthcare
2024-06-10,ATM FEE,453.74,Wallet,Other
2024-06-10,HOUSE RENT,22286.29,Wallet,Rent
2024-06-10,FIXED DEPOSIT,18811.36,Net Banking,Investment
2024-06-10,CASH WITHDRAWAL TXN49552,3259.9,Wallet,Other
2024-06-10,UPI TRANSFER REF913585,6750.81,Debit Card,Other
2024-06-10,ELECTRICITY BILL,398.18,Net Banking,Bills
2024-06-10,ENTERTAINMENT EVENT TXN56663,2371.91,Wallet,Entertainment
2024-06-10,BAKERY PURCHASE TXN54757,1570.94,Wallet,Food
2024-06-10,AMAZON PURCHASE,14670.87,Net Banking,Shopping
2024-06-11,UPI GIFT PURCHASE BLR,4114.32,Wallet,Other
2024-06-11,RELIANCE TRENDS TXN29361,6784.72,Credit Card,Shopping
2024-06-11,UPI CASH WITHDRAWAL HYD,8153.73,Wallet,Other
2024-06-11,GAME PURCHASE TXN23896,2324.72,Debit Card,Entertainment
2024-06-11,LIBRARY FEE,2761.58,Cash,Education
2024-06-11,HOSTEL FEE RENT TXN47768,10307.86,Wallet,Rent
2024-06-11,KFC RESTAURANT,769.12,Debit Card,Food
2024-06-11,UPI ACCOMMODATION PAYMENT CHENNAI,3619.81,Cash,Rent
2024-06-11,SHOPPING MALL,2661.27,Debit Card,Shopping
2024-06-11,INVESTMENT ACCOUNT,17194.17,Credit Card,Investment
2024-06-12,UPI AMAZON PRIME HYD,3156.42,Cash,Entertainment
2024-06-12,GOLD SAVINGS,29988.37,UPI,Investment
2024-06-12,ACT FIBERNET,4587.24,Cash,Bills
2024-06-12,EYE HOSPITAL,7314.61,UPI,Healthcare
2024-06-12,RAILWAY TICKET,1286.64,UPI,Transport
2024-06-12,ACT FIBERNET,4218.02,Credit Card,Bills
2024-06-12,APARTMENT RENT,11177.3,UPI,Rent
2024-06-12,UPI MYNTRA SHOPPING GUNTUR,4985.57,UPI,Shopping
2024-06-12,UPI YOUTUBE PREMIUM HYD,2455.64,Debit Card,Entertainment
2024-06-12,INVESTMENT ACCOUNT TXN97996,11820.46,Wallet,Investment
2024-06-12,HOSTEL FEE RENT TXN96409,23072.28,UPI,Rent
2024-06-12,CASH WITHDRAWAL,8173.19,Net Banking,Other
2024-06-12,HOSTEL RENT,17556.04,Net Banking,Rent
2024-06-12,EXAM FEE REF481914,24026.93,Debit Card,Education
2024-06-12,HOSTEL FEE RENT TXN99081,13660.39,Wallet,Rent
2024-06-12,PG RENT PAYMENT,12143.55,Net Banking,Rent
2024-06-12,UPI MOBILE POSTPAID BILL BLR,928.19,Debit Card,Bills
2024-06-12,UPI ACCOMMODATION PAYMENT BLR,23527.15,Debit Card,Rent
2024-06-13,UDEMY COURSE REF145867,4625.45,Credit Card,Education
2024-06-13,ROOM RENT TXN62945,21512.58,Credit Card,Rent
2024-06-13,MOBILE POSTPAID BILL,1798.06,Debit Card,Bills
2024-06-13,STOCK INVESTMENT,19949.17,Credit Card,Investment
2024-06-13,UPI BAKERY PURCHASE CHENNAI,124.94,Net Banking,Food
2024-06-13,UPI DONATION PAYMENT HYD,6873.97,Net Banking,Other
2024-06-13,INVESTMENT ACCOUNT TXN49860,16285.57,UPI,Investment
2024-06-13,LIBRARY FEE,13453.94,Net Banking,Education
2024-06-13,MUTUAL FUND INVESTMENT REF752476,29333.26,Net Banking,Investment
2024-06-13,PERSONAL TRANSFER TXN24003,790.55,Credit Card,Other
2024-06-13,TRAINING PROGRAM TXN36713,6470.68,Debit Card,Education
2024-06-13,UPI PETROL PUMP VIJAYAWADA,2313.41,Cash,Transport
2024-06-13,UPI AUTO RICKSHAW UPI BLR,1054.57,Wallet,Transport
2024-06-13,UPI ELECTRONICS STORE VIJAYAWADA,2872.49,Cash,Shopping
2024-06-13,ACCOMMODATION PAYMENT,23307.98,Cash,Rent
2024-06-14,ELECTRONICS STORE,7908.41,Debit Card,Shopping
2024-06-14,MOBILE POSTPAID BILL,1759.74,Wallet,Bills
2024-06-14,UPI APARTMENT RENT GUNTUR,19140.32,Wallet,Rent
2024-06-14,UBER TRIP,1526.49,Debit Card,Transport
2024-06-14,PETROL PUMP,2355.83,UPI,Transport
2024-06-14,ELECTRONICS STORE,989.83,UPI,Shopping
2024-06-14,ACCOMMODATION PAYMENT,7635.49,Wallet,Rent
2024-06-14,DENTAL CLINIC,5321.85,Debit Card,Healthcare
2024-06-14,INDEX FUND SIP,19345.8,Wallet,Investment
2024-06-15,BOOK STORE TXN69259,12669.56,Net Banking,Education
2024-06-15,UPI BUS TICKET BLR,707.02,Net Banking,Transport
2024-06-15,MOBILE POSTPAID BILL,4238.3,Credit Card,Bills
2024-06-15,METRO TICKET,2234.65,Cash,Transport
2024-06-15,UPI INOX MOVIES BLR,244.99,UPI,Entertainment
2024-06-15,BROADBAND BILL,4401.6,Credit Card,Bills
2024-06-15,METRO TICKET REF463737,2510.5,Debit Card,Transport
2024-06-15,CLOTHING STORE TXN91762,8416.3,Credit Card,Shopping
2024-06-15,RECURRING DEPOSIT REF750210,11919.43,Debit Card,Investment
2024-06-16,UPI FLIPKART ORDER GUNTUR,8689.66,Debit Card,Shopping
2024-06-16,RELIANCE TRENDS,7160.32,Debit Card,Shopping
